Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,rate
12 Round Gun,2017,18+,,1,0,0,0,0,Sam Upton,"Drama,Sport",United States,English,92,Low
13 Assassins,2010,18+,95%,0,1,0,0,0,Takashi Miike,"Action,Adventure,Drama","Japan,United Kingdom",Japanese,141,High
13 Cameras,2015,18+,77%,1,0,0,0,0,Victor Zarcoff,"Crime,Drama,Horror,Thriller",United States,English,87,Low
13 Sins,2014,18+,65%,1,0,0,0,0,Daniel Stamm,"Horror,Thriller",United States,English,93,Intermediate
1313: Giant Killer Bees!,2011,16+,,0,0,1,0,0,David DeCoteau,"Horror,Sci-Fi",United States,English,80,Low
1313: Night of the Widow,2012,,,0,0,1,0,0,David DeCoteau,Horror,United States,English,76,Low
1313: UFO Invasion,2012,,,0,0,1,0,0,David DeCoteau,Sci-Fi,United States,English,84,Low
13th,2016,18+,96%,1,0,0,0,0,Ava DuVernay,"Documentary,Crime,News",United States,English,100,High
13th: A Conversation with Oprah Winfrey & Ava DuVernay,2017,,,1,0,0,0,0,,"Documentary,Short",,English,37,Intermediate
14 Blades,2010,18+,69%,1,0,0,0,0,Daniel Lee,"Action,History,Thriller","Hong Kong,China,Singapore",Mandarin,114,Intermediate
14 Cameras,2018,18+,22%,1,0,0,0,0,"Seth Fuller,Scott Hussion","Crime,Drama,Horror,Thriller",United States,English,90,Low
14 Minutes from Earth,2016,,,1,0,1,0,0,"Adam 'Tex' Davis,Jerry Kolber,Trey Nelson,Erich Sturm",Documentary,United States,English,84,Low
14+,2015,,,0,0,1,0,0,Andrey Zaytsev,"Drama,Romance",Russia,Russian,102,Intermediate
1492: Conquest of Paradise,1992,13+,32%,0,0,1,0,0,Ridley Scott,"Adventure,Biography,Drama,History","France,Spain","Spanish,Latin,Arabic,English",154,Intermediate
16 Acres,2012,,100%,0,0,1,0,0,Richard Hankin,"Documentary,History,News",United States,English,95,Intermediate
16 to Life,2009,,,0,0,1,0,0,Becky Smith,"Comedy,Romance",United States,English,89,Intermediate
17 Miracles,2011,7+,,0,0,1,0,0,T.C. Christensen,"Adventure,History",United States,English,113,Intermediate
18 Presents,2020,,,1,0,0,0,0,Francesco Amato,Drama,Italy,Italian,115,Intermediate
1898: Our Last Men in the Philippines,2016,13+,,1,0,0,0,0,Salvador Calvo,"Drama,History,War",Spain,Spanish,105,Intermediate
1920 London,2016,,,1,0,0,0,0,Dharmendra Suresh Desai,"Horror,Mystery",India,Hindi,120,Low
1920: Evil Returns,2012,13+,,0,0,1,0,0,Bhushan Patel,"Drama,Horror,Romance",India,Hindi,124,Low
1st Strike,2016,,,0,0,1,0,0,David Llauger Meiselman,Drama,United States,English,99,Low
2 Days in Paris,2007,18+,87%,0,1,1,0,0,Julie Delpy,"Comedy,Drama,Romance","France,Germany","English,French",96,Intermediate
2 Million Stupid Women,2009,18+,,0,0,1,0,0,Jamie Neese,Comedy,United States,English,102,Low
2 Night,2011,,,0,0,1,0,0,Roi Werner,"Comedy,Drama,Romance",Israel,Hebrew,87,High
2 Nights Till Morning,2015,,,0,0,1,0,0,Mikko Kuparinen,"Drama,Romance","Finland,Lithuania","English,French,Finnish",84,Intermediate
2 States,2014,7+,44%,1,0,0,0,0,Abhishek Varman,"Comedy,Drama,Romance",India,Hindi,149,Intermediate
20 Feet from Stardom,2013,13+,99%,1,0,0,0,0,Morgan Neville,"Documentary,Biography,Music",United States,"English,Spanish",91,High
20 Weeks,2018,,60%,0,0,1,0,0,Leena Pendharkar,"Drama,Romance",United States,English,90,Low
"20,000 Leagues Under the Sea",1997,,,0,0,1,1,0,Richard Fleischer,"Adventure,Drama,Family,Fantasy,Sci-Fi",United States,English,127,Low
20.000 Days on Earth,2014,,95%,0,0,1,0,0,"Iain Forsyth,Jane Pollard","Documentary,Drama,Music",United Kingdom,English,97,High
200 Pounds Beauty,2006,,,0,0,1,0,0,Yong-hwa Kim,"Comedy,Drama,Music,Romance",South Korea,Korean,120,Intermediate
2010 NBA Champions: Los Angeles Lakers,2010,,,0,0,1,0,0,,Sport,United States,English,90,
2015 Dream Concert,2015,,,1,0,0,0,0,,Music,South Korea,English,107,Intermediate
20th Century Women,2016,18+,88%,1,0,0,0,0,Mike Mills,"Comedy,Drama",United States,English,119,High
21 Days,1940,,,0,0,1,0,0,Basil Dean,Drama,United Kingdom,English,72,Intermediate
22 Bullets,2010,,46%,0,0,1,0,0,Richard Berry,"Action,Crime,Drama,Thriller",France,French,117,Intermediate
23 Blast,2014,13+,36%,0,0,1,0,0,Dylan Baker,"Drama,Family,Sport",United States,English,98,Intermediate
24 Days,2014,,79%,0,0,1,0,0,Alexandre Arcady,"Drama,Thriller",France,French,110,Intermediate
24 Hour Love,2013,18+,,0,1,1,0,0,Fred Thomas Jr.,Drama,United States,English,98,Low
24 Hours to Live,2017,18+,52%,1,0,0,0,0,Brian Smrz,"Action,Sci-Fi,Thriller","South Africa,China,United States","English,Chinese",93,Intermediate
25 Kille,2016,7+,,1,0,0,0,0,Simranjit Singh Hundal,"Comedy,Drama",India,Punjabi,141,Intermediate
26 Years,2012,,,1,0,0,0,0,Geun-hyun Cho,"Drama,Thriller",South Korea,Korean,135,Intermediate
27: Gone Too Soon,2018,7+,,0,0,1,0,0,Simon Napier-Bell,"Documentary,Music",United Kingdom,English,90,Low
28 Hotel Rooms,2012,,47%,0,1,0,0,0,Matt Ross,"Drama,Romance",United States,English,82,Intermediate
2eleven,2015,18+,,0,0,1,0,0,Derek Scott,Action,United States,English,107,Intermediate
3 Blind Saints,2011,7+,,0,0,1,0,0,John Eschenbaum,Comedy,United States,English,89,Low
3 Generations,2016,13+,32%,1,0,0,0,0,Gaby Dellal,Drama,United States,"English,Spanish",92,Intermediate
3 Heroines,2016,,,1,0,0,0,0,Iman Brotoseno,"Biography,Drama,Sport",Indonesia,Indonesian,,Intermediate
3 Idiots,2009,13+,100%,1,0,1,0,0,Rajkumar Hirani,"Comedy,Drama",India,"Hindi,English",170,High
3 Men and a Baby,1987,7+,75%,0,0,0,1,0,Leonard Nimoy,"Comedy,Drama,Family","United States,France",English,102,Intermediate
3 Men and a Little Lady,1990,7+,38%,0,0,0,1,0,Emile Ardolino,"Comedy,Drama,Family,Romance",United States,English,104,Low
3 Nights in the Desert,2014,18+,40%,0,0,1,0,0,Gabriel Cowan,Drama,United States,English,90,Low
3 of a Kind,2012,,,0,0,1,0,0,Greg Green,"Crime,Drama",United States,English,106,Low
3 Seconds Divorce,2018,,,1,0,0,0,0,Shazia Javed,Documentary,Canada,"Hindi,Urdu,English",54,High
3 Türken und ein Baby,2015,,,1,0,0,0,0,,,,,,Intermediate
30 Days of Luxury,2016,,,1,0,0,0,0,Hani Hamdi,"Comedy,Musical",Egypt,Arabic,,
300 Miles to Heaven,1989,,,1,0,1,0,0,Maciej Dejczer,"Biography,Drama","Denmark,France,Poland","Polish,Danish",90,High
33 Postcards,2011,,27%,0,0,1,0,0,Pauline Chan,"Crime,Drama,Music","China,Australia","English,Mandarin",97,Intermediate
35 and Ticking,2011,18+,,0,1,1,0,0,Russ Parr,"Comedy,Romance",United States,English,104,Intermediate
37 Seconds,2019,,85%,1,0,0,0,0,Hikari,Drama,Japan,Japanese,115,High
3801 Lancaster: American Tragedy,2015,,,0,0,1,0,0,David Altrogge,"Documentary,Crime,Drama,News",United States,English,57,Intermediate
388 Arletta Avenue,2011,18+,56%,0,0,1,0,0,Randall Cole,"Horror,Thriller",Canada,English,87,Low
3-Iron,2004,18+,87%,0,0,1,0,0,Ki-duk Kim,"Crime,Drama,Romance","South Korea,Japan",Korean,88,High
4 latas,2019,,57%,1,0,0,0,0,Gerardo Olivares,"Comedy,Drama",Spain,"Spanish,French,Afrikaans",105,Intermediate
4 Little Girls,1997,16+,100%,0,0,1,0,0,Spike Lee,"Documentary,History",United States,English,102,High
4 Moons,2014,,86%,0,0,1,0,0,Sergio Tovar Velarde,"Drama,Romance",Mexico,Spanish,110,High
40 Days and 40 Nights,2002,18+,39%,1,0,0,0,0,Michael Lehmann,"Comedy,Romance","United States,United Kingdom,France",English,96,Intermediate
40 Years in the Making: The Magic Music Movie,2018,,100%,0,0,1,0,0,Lee Aronsohn,Documentary,United States,English,99,Intermediate
420 - The Documentary,2013,,,0,0,1,0,0,Amy Povah,"Documentary,Crime,History,News",United States,English,92,High
47 Meters Down,2017,13+,53%,1,0,0,0,0,Johannes Roberts,"Adventure,Drama,Horror,Thriller","United Kingdom,United States","English,Spanish",89,Intermediate
47 Meters Down: Uncaged,2019,13+,42%,0,0,1,0,0,Johannes Roberts,"Adventure,Drama,Horror,Thriller","United Kingdom,United States",English,90,Low
48 Christmas Wishes,2017,all,,1,0,0,0,0,"Marco Deufemia,Justin G. Dyck","Adventure,Comedy,Family,Fantasy",Canada,,84,Low
4Closed,2013,13+,,0,0,1,0,0,Nick Lyon,"Drama,Horror,Thriller",United States,"English,American Sign Language",91,Low
5 cm,2012,,,1,0,0,0,0,Rizal Mantovani,"Adventure,Drama,Romance",Indonesia,Indonesian,125,High
5 Cowok Jagoan,2017,,,1,0,0,0,0,Anggy Umbara,"Action,Comedy",Indonesia,Indonesian,106,Intermediate
5 Flights Up,2014,13+,46%,1,0,0,0,0,Richard Loncraine,"Comedy,Drama",United States,English,88,Intermediate
5 Seconds of Summer,2014,,,0,0,1,0,0,Jonny Mais,Game-Show,,,,High
5 Star Christmas,2018,,,1,0,0,0,0,Marco Risi,Comedy,Italy,Italian,92,Low
50/50,2011,18+,93%,0,1,0,0,0,Jonathan Levine,"Comedy,Drama,Romance",United States,English,100,High
500 Years,2017,,100%,0,0,1,0,0,Pamela Yates,Documentary,United States,Spanish,105,Intermediate
5Gang: A different kind of Christmas,2019,,,1,0,0,0,0,Tom McLoughlin,"Comedy,Drama,Romance",United States,English,90,Low
5ive Girls,2006,,,0,0,1,0,0,Warren P. Sonoda,"Horror,Thriller",Canada,English,95,Low
5K1-States Evidence,2018,,,0,0,1,0,0,Benjamin Louis,"Drama,Thriller",United States,English,89,
6 Balloons,2018,18+,86%,1,0,0,0,0,Marja-Lewis Ryan,Drama,United States,English,74,Intermediate
6 Below: Miracle on the Mountain,2017,13+,22%,0,1,0,0,0,Scott Waugh,"Adventure,Biography,Drama,Sport,Thriller",United States,English,98,Intermediate
6 Days,2017,18+,63%,1,0,0,0,0,Toa Fraser,"Action,Drama,History,Thriller","New Zealand,United Kingdom","English,Arabic,Persian",94,Intermediate
6 Underground,2019,18+,36%,1,0,0,0,0,Michael Bay,"Action,Comedy,Thriller",United States,"English,Turkmen,Cantonese,Italian,Spanish,Ukrainian,French",128,Intermediate
6 Ways to Die,2015,18+,40%,0,0,1,0,0,Nadeem Soumah,"Crime,Mystery,Thriller",United States,English,103,Low
6 Years,2015,,69%,1,0,0,0,0,Hannah Fidell,"Drama,Romance",United States,English,79,Intermediate
6-5=2,2013,,,1,0,1,0,0,Swarna Latha,"Horror,Thriller",India,Kannada,105,Intermediate
666: The Beast,2007,,,0,0,1,0,0,Nick Everhart,"Horror,Thriller",United States,English,89,Low
68 Kill,2018,18+,70%,1,0,0,0,0,Trent Haaga,"Comedy,Crime,Romance,Thriller",United States,English,93,Intermediate
7 Años,2016,,,1,0,0,0,0,Roger Gual,Drama,Spain,Spanish,77,Intermediate
7 Boxes,2012,16+,97%,0,0,1,0,0,"Juan Carlos Maneglia,Tana Schémbori","Adventure,Crime,Drama,Mystery,Thriller","Paraguay,Spain","Spanish,Guarani,Korean",105,High
7 Chinese Brothers,2015,,77%,0,0,1,0,0,Bob Byington,Comedy,"United States,Greece",English,76,Intermediate
7 Days in Syria,2015,,,0,0,1,0,0,Robert Rippberger,"Documentary,Drama,War","United States,Syria",English,75,High
7 Khoon Maaf,2011,,,1,0,0,0,0,Vishal Bhardwaj,"Drama,Mystery,Thriller",India,"Hindi,English,Urdu,Russian",137,Intermediate
78/52,2017,,89%,0,1,0,0,0,Alexandre O. Philippe,Documentary,United States,English,91,High
7-Man Army,1976,18+,,0,0,1,0,0,Cheh Chang,"Action,Drama,War","Hong Kong,Taiwan","Mandarin,Japanese",100,Intermediate
8 Assassins,2014,,,0,0,1,0,0,Said C. Naciri,"Action,Adventure",Morocco,"Arabic,French",100,Low
8 Minutes Idle,2012,,38%,0,0,1,0,0,Mark Simon Hewis,Comedy,United Kingdom,English,86,Low
8 Murders a Day,2011,18+,57%,0,0,1,0,0,Charlie Minn,Documentary,United States,English,90,Low
9/11 Inside the Pentagon,2016,7+,,0,0,1,0,0,Sharon Petzold,"Documentary,History,War",United States,English,54,High
9/11: 15 years later,2016,,,0,1,0,0,0,,Documentary,Netherlands,English,60,Low
90 ML,2019,7+,,1,0,1,0,0,Anita Udeep,Comedy,India,Tamil,120,Low
93 Days,2016,,,1,0,1,0,0,Steve Gukas,Drama,Nigeria,English,118,Intermediate
96 Souls,2016,16+,,0,0,1,0,0,Stanley Jacobs,"Drama,Mystery,Sci-Fi,Thriller",United States,English,112,Intermediate
99 River Street,1953,,100%,0,0,1,0,0,Phil Karlson,"Action,Crime,Drama,Film-Noir,Thriller",United States,English,83,High
9-Ball,2012,,,0,0,1,0,0,Anthony Palma,"Drama,Sport",United States,English,85,Intermediate
9th Company,2005,18+,69%,0,0,1,0,0,Fedor Bondarchuk,"Action,Drama,History,War","Finland,Russia,Ukraine",Russian,139,High
A 3 Minute Hug,2018,,,1,0,0,0,0,"Everardo González","Documentary,Short","Mexico,United States",Spanish,28,Intermediate
A “Private Dancer” in Mom’s Kitchen,2020,,,0,0,1,0,0,Bill Briles,Comedy,United States,English,92,High
A Baby for Christmas,2015,,,0,0,1,0,0,Rhonda Baraka,Family,United States,English,85,Intermediate
A Bad Idea Gone Wrong,2017,,80%,0,0,1,0,0,Jason Headley,Comedy,United States,English,85,Intermediate
A Bad Moms Christmas,2017,18+,31%,1,0,0,0,0,"Jon Lucas,Scott Moore",Comedy,"United States,China","English,Japanese",104,Intermediate
A Beautiful Life,2011,,,1,0,0,0,0,Andrew Lau,"Drama,Romance","China,Hong Kong","Mandarin,Chinese,English,Cantonese",124,Intermediate
A Beautiful Now,2015,18+,,0,0,1,0,0,Daniela Amavia,"Comedy,Drama,Music,Romance",United States,English,90,Intermediate
A Billion Colour Story,2016,,,1,0,0,0,0,Padmakumar Narasimhamurthy,Drama,India,English,105,High
A Bird of the Air,2011,13+,30%,0,0,1,0,0,Margaret Whitton,"Drama,Romance",United States,English,108,Intermediate
A Bittersweet Life,2005,,100%,0,0,1,0,0,Jee-woon Kim,"Action,Crime,Drama,Thriller",South Korea,"Korean,Russian",119,High
A Blade in the Dark,1983,,,0,0,1,0,0,Lamberto Bava,"Horror,Mystery,Thriller",Italy,"English,Italian",110,Intermediate
A Bloody Aria,2006,,42%,0,0,1,0,0,Shin-yeon Won,"Action,Drama,Horror,Thriller",South Korea,Korean,115,Intermediate
A Bottle in the Gaza Sea,2011,,69%,0,0,1,0,0,Thierry Binisti,Drama,"France,Israel,Canada","Hebrew,Arabic,French",100,High
A Brand New Life,2009,,,0,0,1,0,0,Ounie Lecomte,Drama,"France,South Korea",Korean,92,High
A Bridge Too Far,1977,7+,64%,0,0,1,0,0,Richard Attenborough,"Drama,History,War",United States,"English,German,Dutch,Polish,Latin",175,High
A Brilliant Young Mind,2014,13+,87%,0,1,1,0,0,Morgan Matthews,"Drama,Romance",United Kingdom,"English,Mandarin",111,High
A Bucket of Blood,1959,,77%,0,0,1,0,0,Roger Corman,"Comedy,Crime,Horror",United States,English,66,Intermediate
A Bug's Life,1998,all,92%,0,0,0,1,0,"John Lasseter,Andrew Stanton","Animation,Adventure,Comedy,Family",United States,English,95,High
A Cadaver Christmas,2011,,,0,0,1,0,0,Joe Zerull,"Comedy,Horror",United States,English,85,Low
A Cam Life,2018,,,0,1,0,0,0,,Documentary,United States,English,77,Low
A Celebration of the Music from Coco,2020,,,0,0,0,1,0,Ron de Moraes,Music,United States,English,,High
A Chairy Tale,1957,,,0,0,1,0,0,"Claude Jutra,Norman McLaren","Animation,Short,Comedy,Fantasy",Canada,None,12,High
A Champion Heart,2018,all,,1,0,0,0,0,David de Vos,Family,United States,English,90,Low
A Child's Christmas in Wales,1987,,,0,0,1,0,0,Don McBrearty,"Family,Drama","Canada,United Kingdom,United States",English,55,High
A Christmas Carol,1997,7+,,0,0,1,0,0,,"Drama,Fantasy","United Kingdom,United States",English,173,Intermediate
A Christmas Carol in Color!,2008,,,0,0,1,0,0,,Horror,,,,
A Christmas Prince,2017,7+,73%,1,0,1,0,0,Alex Zamm,"Comedy,Family,Romance",United States,English,92,Intermediate
A Christmas Prince: The Royal Baby,2019,,40%,1,0,0,0,0,John Schultz,"Family,Romance",United States,English,84,Low
A Christmas Prince: The Royal Wedding,2018,7+,70%,1,0,0,0,0,John Schultz,"Drama,Romance",United States,English,92,Low
A Christmas Snow,2010,7+,,0,0,1,0,0,Tracy Trost,"Comedy,Drama,Family",United States,English,110,Intermediate
A Christmas Tail,2014,,,0,0,1,0,0,Elias Underhill,Family,Canada,English,87,Low
A Christmas Tree Miracle,2013,all,,0,0,1,0,0,J.W. Myers,Family,United States,English,102,Intermediate
A Cinderella Christmas,2016,all,,0,1,0,0,0,Tosca Musk,"Comedy,Romance",United States,English,93,Intermediate
A Cinderella Story: Christmas Wish,2019,7+,,1,0,0,0,0,Michelle Johnston,"Comedy,Family,Fantasy,Music,Romance",United States,English,85,Low
A Coffee in Berlin,2012,,77%,0,0,1,0,0,Jan-Ole Gerster,"Comedy,Drama",Germany,"German,English",86,High
A Company Man,2012,,,0,0,1,0,0,Sang-yoon Lim,"Action,Drama",South Korea,"Korean,English",96,Intermediate
A Connecticut Yankee in King Arthur's Court,1989,,,0,0,1,0,0,Tay Garnett,"Comedy,Family,Fantasy,Musical",United States,English,106,Low
A Cool Fish,2018,,20%,0,0,1,0,0,Xiaozhi Rao,Comedy,China,Mandarin,109,High
A Crack in the Floor,2003,18+,,0,0,1,0,0,"Sean Stanek,Corbin Timbrook",Horror,United States,English,90,Low
A Crooked Somebody,2018,18+,80%,0,1,0,0,0,Trevor White,"Crime,Drama,Thriller",United States,English,102,Intermediate
A Dangerous Place,1995,18+,,0,0,1,0,0,Jerry P. Jacobs,"Action,Thriller",United States,English,97,Intermediate
A Dangerous Woman,1993,18+,50%,1,0,0,0,0,Stephen Gyllenhaal,"Drama,Romance",United States,English,102,Intermediate
A Dark Place,2019,,52%,0,0,1,0,0,Simon Fellows,"Mystery,Thriller","United Kingdom,United States",English,89,Intermediate
A Dark Reflection,2015,,,0,0,1,0,0,Tristan Loraine,Thriller,United Kingdom,English,102,Low
A Darker Reality,2008,,,0,0,1,0,0,Chris Kazmier,Horror,United States,English,88,Low
A Date with Miss Fortune,2015,16+,,0,0,1,0,0,John L'Ecuyer,"Comedy,Romance",Canada,"English,Portuguese",97,Low
A Daughter's Nightmare,2014,16+,,0,0,1,0,0,Vic Sarin,"Drama,Mystery,Thriller",Canada,English,87,Intermediate
A Deadly Silence,1989,,,0,0,1,0,0,John Patterson,Thriller,United States,English,91,Intermediate
A Deeper Shade of Blue,2011,7+,,0,0,1,0,0,Jack McCoy,"Documentary,History",Australia,English,90,Intermediate
A Dog for Christmas,2015,,,0,0,1,0,0,,"Comedy,Family",United States,English,89,High
A Dog Named Gucci,2015,,,0,0,1,0,0,Gorman Bechard,"Documentary,Biography,Drama,News",United States,English,90,High
A Fairly Odd Christmas,2012,all,,0,1,0,0,0,Savage Steve Holland,"Animation,Comedy,Family,Fantasy",United States,"English,Spanish,Japanese",68,Low
"A Fairly Odd Movie: Grow Up, Timmy Turner!",2011,7+,,0,1,0,0,0,Savage Steve Holland,"Animation,Comedy,Family,Fantasy","United States,Canada",English,48,Low
A Fairly Odd Summer,2014,all,,1,1,0,0,0,Savage Steve Holland,"Animation,Comedy,Family,Fantasy",United States,English,68,Low
A Fairytale Christmas,2013,7+,,0,1,0,0,0,Alex Wright,"Drama,Family,Romance",United States,English,85,Low
A Fall from Freedom,2011,,,0,0,1,0,0,,"Documentary,History",United States,,82,High
